time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.48872168337570816e+01 2.97667501843960008e+03 2.99156223527335715e+03 8.64873236836811998e-02
1.22718463000000000e-02 1.48844462456905884e+01 2.97667778811956941e+03 2.99156223436525988e+03 8.64411744282408551e-02
2.45436926000000000e-02 1.48760662136406108e+01 2.97668616902314079e+03 2.99156223523678136e+03 8.65869411340225992e-02
3.68155389000000000e-02 1.48620789778050675e+01 2.97670015502443448e+03 2.99156223400223962e+03 8.69237372622681942e-02
4.90873851999999999e-02 1.48425018502815949e+01 2.97671973389196637e+03 2.99156223574224805e+03 8.74492103855966374e-02
6.13592314999999999e-02 1.48173429111221733e+01 2.97674488886435802e+03 2.99156223177548009e+03 8.81601994895187813e-02
7.36310777999999999e-02 1.47866280592034869e+01 2.97677559890090470e+03 2.99156222696010809e+03 8.90516149816443225e-02
8.59029240999999999e-02 1.47503886702152318e+01 2.97681183632412012e+03 2.99156222499433534e+03 9.01173061669689190e-02
9.81747703999999999e-02 1.47086538551350010e+01 2.97685357135554978e+03 2.99156222521068457e+03 9.13513818942416622e-02
1.10446616700000000e-01 1.46614498678526868e+01 2.97690077143524104e+03 2.99156222130309379e+03 9.27465737580464300e-02
1.22718463000000000e-01 1.46088221908958822e+01 2.97695339655833641e+03 2.99156221874923222e+03 9.42949572634653732e-02
1.34990309300000000e-01 1.45508148644354520e+01 2.97701140294037214e+03 2.99156221780480746e+03 9.59891080157692089e-02
1.47262155600000000e-01 1.44874721375546045e+01 2.97707474157936804e+03 2.99156221371692254e+03 9.78216215208122380e-02
1.59534001900000000e-01 1.44188493537593736e+01 2.97714335899146090e+03 2.99156220834522037e+03 9.97843219292808697e-02
time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 0.00000000000000000e+00 2.97667501843960008e+03 2.97667501843960008e+03 8.64873236836811859e-02
time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.48822591793156960e+01 2.97667501843960008e+03 2.99155727761891558e+03 8.64873236836811859e-02
time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.48822591793156960e+01 2.97667501843960008e+03 2.99155727761891558e+03 8.64873236836811859e-02
