time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.49216693804585514e+01 2.97666875562341738e+03 2.99159042500387613e+03 2.16842556661518519e-02
1.22718463000000000e-02 1.49189166191434506e+01 2.97667150780432939e+03 2.99159042442347300e+03 1.84152640730579215e-02
2.45436926000000000e-02 1.49105402723705520e+01 2.97667988417598599e+03 2.99159042444835632e+03 1.55311350115384383e-02
3.68155389000000000e-02 1.48965470901443737e+01 2.97669387730932976e+03 2.99159042439947416e+03 1.32857603650581770e-02
4.90873851999999999e-02 1.48769497132702178e+01 2.97671347380475481e+03 2.99159042351802509e+03 1.20428834743196763e-02
6.13592314999999999e-02 1.48517658052548995e+01 2.97673865705821709e+03 2.99159042286347176e+03 1.21137728611083201e-02
7.36310777999999999e-02 1.48210113443150444e+01 2.97676940916327749e+03 2.99159042050759263e+03 1.34749936983045489e-02
8.59029240999999999e-02 1.47847124238670400e+01 2.97680570555854547e+03 2.99159041798241242e+03 1.57956911043511256e-02
9.81747703999999999e-02 1.47429030197980282e+01 2.97684751516198821e+03 2.99159041818178639e+03 1.87220660356483513e-02
1.10446616700000000e-01 1.46956148876748838e+01 2.97689480189336473e+03 2.99159041678103949e+03 2.20130989329419095e-02
time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 0.00000000000000000e+00 2.97666875562341738e+03 2.97666875562341738e+03 2.16842556661518242e-02
time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.49167094874623647e+01 2.97666875562341738e+03 2.99158546511087980e+03 2.16842556661518242e-02
time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.49167094874623647e+01 2.97666875562341738e+03 2.99158546511087980e+03 2.16842556661518242e-02
